epoch	train_acc	test_acc	val_acc
0	0.21753333508968353	0.2150000035762787	0.11895237863063812
1	0.2920833230018616	0.2892666757106781	0.17209523916244507
2	0.4058166742324829	0.4073333442211151	0.25514286756515503
3	0.47288334369659424	0.4687333405017853	0.31552380323410034
4	0.4960666596889496	0.49106666445732117	0.33523809909820557
5	0.5160666704177856	0.5127999782562256	0.36995238065719604
6	0.5588499903678894	0.5569333434104919	0.39957141876220703
7	0.5659999847412109	0.5637999773025513	0.4118095338344574
8	0.5808166861534119	0.5767333507537842	0.3916666805744171
9	0.5955166816711426	0.5948666930198669	0.4057618975639343
10	0.5955833196640015	0.5914666652679443	0.37895238399505615
11	0.5968666672706604	0.5949333310127258	0.41638094186782837
12	0.6219000220298767	0.6209999918937683	0.421999990940094
13	0.5986666679382324	0.591866672039032	0.39147618412971497
14	0.6262833476066589	0.6225333213806152	0.4166666567325592
15	0.6395000219345093	0.6364666819572449	0.41028571128845215
16	0.6446833610534668	0.6401333212852478	0.4273809492588043
17	0.6397666931152344	0.638866662979126	0.4319523870944977
18	0.6384999752044678	0.6383333206176758	0.4209047555923462
19	0.660099983215332	0.6528666615486145	0.4406190514564514
20	0.6533666849136353	0.6514666676521301	0.44647619128227234
21	0.6496666669845581	0.6458666920661926	0.4402380883693695
22	0.6614000201225281	0.6597333550453186	0.44990476965904236
23	0.6583166718482971	0.6556000113487244	0.41380953788757324
24	0.6486999988555908	0.6466000080108643	0.4087619185447693
25	0.6449499726295471	0.6428666710853577	0.43176189064979553
26	0.629016637802124	0.6273333430290222	0.43095237016677856
27	0.6638666391372681	0.6605333089828491	0.4354761838912964
28	0.6689833402633667	0.6650000214576721	0.44342857599258423
29	0.6533166766166687	0.6528666615486145	0.44019046425819397
30	0.6441333293914795	0.6442000269889832	0.4200952351093292
31	0.6561999917030334	0.6521333456039429	0.4317142963409424
32	0.6565999984741211	0.6552000045776367	0.45571428537368774
33	0.6730999946594238	0.6694666743278503	0.4499523937702179
34	0.673633337020874	0.6700000166893005	0.43276190757751465
35	0.6649500131607056	0.6613333225250244	0.4435238242149353
36	0.6726499795913696	0.6715999841690063	0.43276190757751465
37	0.6679333448410034	0.6650000214576721	0.4466666579246521
38	0.6751000285148621	0.6742666959762573	0.43480953574180603
39	0.67208331823349	0.6704000234603882	0.43966665863990784
40	0.6653333306312561	0.6636666655540466	0.4285714328289032
41	0.6801666617393494	0.6769999861717224	0.454714298248291
42	0.6659333109855652	0.6645333170890808	0.4335238039493561
43	0.6682666540145874	0.66839998960495	0.4498095214366913
44	0.6890166401863098	0.6864666938781738	0.4543333351612091
45	0.6801166534423828	0.6782000064849854	0.44528570771217346
46	0.668066680431366	0.6653333306312561	0.4618571400642395
47	0.6815000176429749	0.6795333623886108	0.43785715103149414
48	0.6711333394050598	0.6697333455085754	0.46838095784187317
49	0.6766666769981384	0.6726666688919067	0.46204760670661926
50	0.6741999983787537	0.6697999835014343	0.4622381031513214
51	0.6819833517074585	0.6787999868392944	0.45404762029647827
52	0.6936666369438171	0.6904000043869019	0.4750952422618866
53	0.6841333508491516	0.6787999868392944	0.4628095328807831
54	0.6947000026702881	0.6901999711990356	0.45304763317108154
55	0.6845333576202393	0.6812666654586792	0.45609524846076965
56	0.6873166561126709	0.6830000281333923	0.47185713052749634
57	0.7077500224113464	0.7037333250045776	0.46557143330574036
58	0.690933346748352	0.6856666803359985	0.46604761481285095
59	0.6912333369255066	0.6852666735649109	0.475857138633728
60	0.7008000016212463	0.6950666904449463	0.47066667675971985
61	0.6858166456222534	0.6808666586875916	0.4699999988079071
62	0.6964666843414307	0.6927333474159241	0.47880953550338745
63	0.6991166472434998	0.6941333413124084	0.47785714268684387
64	0.6961166858673096	0.6926666498184204	0.4677142798900604
65	0.7031166553497314	0.6979333162307739	0.47576189041137695
66	0.7139333486557007	0.7079333066940308	0.4776666760444641
67	0.6966833472251892	0.6905333399772644	0.4646666646003723
68	0.7213833332061768	0.7149333357810974	0.4770476222038269
69	0.7130333185195923	0.7078666687011719	0.4804285764694214
70	0.710099995136261	0.7065333127975464	0.4754762053489685
71	0.7311999797821045	0.7289999723434448	0.47495236992836
72	0.7134666442871094	0.7062000036239624	0.47638094425201416
73	0.7160500288009644	0.7105333209037781	0.4806666672229767
74	0.713783323764801	0.7097333073616028	0.48890477418899536
75	0.7111999988555908	0.7057999968528748	0.48061904311180115
76	0.7160833477973938	0.7084000110626221	0.47833332419395447
77	0.722100019454956	0.7184000015258789	0.4847142994403839
78	0.7200000286102295	0.7151333093643188	0.4821428656578064
79	0.7123333215713501	0.7072666883468628	0.47295239567756653
80	0.7284666895866394	0.7246000170707703	0.4856666624546051
81	0.7326499819755554	0.7271999716758728	0.4886666536331177
82	0.7364833354949951	0.7341333627700806	0.4878571331501007
83	0.7286499738693237	0.7232000231742859	0.482619047164917
84	0.7336500287055969	0.7301333546638489	0.4797142744064331
85	0.7252833247184753	0.7196000218391418	0.47552379965782166
86	0.734250009059906	0.7293333411216736	0.489809513092041
87	0.731166660785675	0.7256666421890259	0.46861904859542847
88	0.7379666566848755	0.7340666651725769	0.48404762148857117
89	0.7339666485786438	0.7300666570663452	0.4871428608894348
90	0.7345333099365234	0.7308666706085205	0.4740952253341675
91	0.7378833293914795	0.7311999797821045	0.48404762148857117
