               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.018327,           0.0072233,           0.0049999,             0.99392,             0.99298,             0.99312,             0.85635,            0.013338,           0.0043156,           0.0013146,           0.0076679,           0.0076679,           0.0076679
                  36,            0.018383,           0.0072744,           0.0052902,             0.99464,             0.99183,             0.99332,             0.85672,            0.013306,           0.0043148,           0.0012409,            0.007543,            0.007543,            0.007543
                  37,            0.018031,           0.0071607,           0.0048355,             0.99462,             0.99268,              0.9933,             0.85763,            0.013235,           0.0042931,            0.001218,            0.007416,            0.007416,            0.007416
                  38,            0.018052,           0.0070633,           0.0049031,             0.99537,             0.99146,             0.99375,             0.85941,            0.013186,           0.0042652,            0.001182,           0.0072872,           0.0072872,           0.0072872
                  39,            0.017875,           0.0071036,           0.0048043,             0.99468,             0.99344,             0.99386,             0.85985,            0.013129,           0.0042473,           0.0011438,           0.0071566,           0.0071566,           0.0071566
                  40,            0.017814,            0.007011,           0.0046707,             0.99336,             0.99444,             0.99343,             0.86064,            0.013083,           0.0042268,           0.0011327,           0.0070243,           0.0070243,           0.0070243
                  41,            0.017702,           0.0070525,           0.0046758,             0.99464,             0.99452,             0.99342,             0.86246,            0.013024,           0.0042216,            0.001063,           0.0068906,           0.0068906,           0.0068906
                  42,            0.017656,           0.0069199,           0.0047762,              0.9938,             0.99575,             0.99338,             0.86202,            0.012967,           0.0042159,            0.001049,           0.0067555,           0.0067555,           0.0067555
                  43,            0.017603,           0.0069946,           0.0047436,             0.99522,             0.99438,             0.99322,             0.86158,            0.012969,            0.004217,           0.0010826,           0.0066191,           0.0066191,           0.0066191
                  44,             0.01751,           0.0069276,            0.004464,             0.99489,             0.99404,             0.99328,             0.86128,            0.012969,           0.0042104,           0.0010745,           0.0064816,           0.0064816,           0.0064816
                  45,            0.017439,           0.0069298,            0.004526,             0.99563,             0.99431,             0.99333,             0.86146,            0.012944,           0.0042049,           0.0010479,           0.0063432,           0.0063432,           0.0063432
                  46,            0.017195,           0.0068691,           0.0044011,             0.99472,             0.99453,             0.99339,             0.86244,            0.012928,           0.0042031,           0.0010262,            0.006204,            0.006204,            0.006204
                  47,            0.017168,           0.0068782,           0.0042993,              0.9943,             0.99484,             0.99351,             0.86177,            0.012908,           0.0041953,           0.0010001,            0.006064,            0.006064,            0.006064
                  48,            0.017084,            0.006791,           0.0042558,             0.99494,              0.9933,             0.99361,             0.86338,            0.012884,           0.0041902,           0.0010124,           0.0059235,           0.0059235,           0.0059235
                  49,            0.017073,           0.0068258,           0.0043553,             0.99527,             0.99289,             0.99392,             0.86306,            0.012862,           0.0041814,           0.0010244,           0.0057826,           0.0057826,           0.0057826
                  50,            0.016855,           0.0067405,           0.0042493,             0.99523,             0.99272,             0.99394,              0.8635,            0.012825,           0.0041653,           0.0010158,           0.0056413,           0.0056413,           0.0056413
                  51,            0.016895,           0.0068126,           0.0043173,             0.99518,             0.99277,             0.99392,             0.86398,            0.012809,           0.0041589,           0.0010025,              0.0055,              0.0055,              0.0055
                  52,            0.016673,            0.006695,           0.0040551,             0.99511,             0.99278,             0.99402,             0.86427,            0.012798,           0.0041506,          0.00098317,           0.0053587,           0.0053587,           0.0053587
                  53,            0.016523,           0.0066506,           0.0041188,             0.99506,             0.99291,             0.99408,             0.86465,            0.012787,           0.0041499,          0.00097129,           0.0052174,           0.0052174,           0.0052174
                  54,             0.01657,           0.0066502,           0.0041091,             0.99562,             0.99241,             0.99408,              0.8653,             0.01278,           0.0041498,          0.00096694,           0.0050765,           0.0050765,           0.0050765
                  55,            0.016456,           0.0066108,           0.0039218,             0.99401,             0.99436,             0.99412,             0.86499,            0.012776,           0.0041502,          0.00096213,            0.004936,            0.004936,            0.004936
                  56,            0.016294,           0.0065559,           0.0038877,             0.99342,             0.99521,             0.99411,             0.86512,             0.01276,            0.004146,          0.00095978,            0.004796,            0.004796,            0.004796
                  57,            0.016213,           0.0065807,           0.0036591,             0.99513,             0.99361,             0.99412,             0.86555,            0.012749,           0.0041419,          0.00095024,           0.0046568,           0.0046568,           0.0046568
                  58,            0.016109,           0.0065569,           0.0038339,             0.99521,             0.99383,             0.99413,             0.86548,             0.01274,           0.0041378,          0.00094735,           0.0045184,           0.0045184,           0.0045184
                  59,            0.016028,            0.006515,           0.0037662,             0.99472,              0.9948,             0.99414,              0.8656,            0.012727,           0.0041323,          0.00094498,           0.0043809,           0.0043809,           0.0043809
                  60,            0.015919,           0.0064777,           0.0035772,             0.99502,             0.99456,             0.99413,             0.86525,            0.012719,           0.0041267,          0.00094545,           0.0042445,           0.0042445,           0.0042445
                  61,            0.015825,           0.0064295,           0.0035894,             0.99502,             0.99461,             0.99366,             0.86506,            0.012708,           0.0041221,          0.00094531,           0.0041094,           0.0041094,           0.0041094
                  62,            0.015764,           0.0064568,            0.003578,             0.99504,             0.99456,             0.99364,             0.86523,            0.012698,           0.0041177,          0.00094328,           0.0039757,           0.0039757,           0.0039757
                  63,            0.015678,           0.0064146,           0.0034991,             0.99477,             0.99482,             0.99362,             0.86536,            0.012692,           0.0041148,          0.00093991,           0.0038434,           0.0038434,           0.0038434
                  64,            0.015551,           0.0063758,           0.0035954,             0.99478,             0.99468,              0.9936,             0.86521,            0.012685,           0.0041109,           0.0009368,           0.0037128,           0.0037128,           0.0037128
                  65,            0.015489,           0.0063167,           0.0034857,             0.99535,             0.99409,             0.99366,             0.86586,            0.012678,            0.004107,          0.00093267,            0.003584,            0.003584,            0.003584
                  66,            0.015329,             0.00628,           0.0033694,             0.99523,             0.99409,             0.99359,             0.86667,            0.012674,           0.0041041,          0.00092527,            0.003457,            0.003457,            0.003457
                  67,            0.015254,           0.0063151,           0.0032779,              0.9959,             0.99346,             0.99358,             0.86656,            0.012666,           0.0041008,          0.00091845,           0.0033321,           0.0033321,           0.0033321
                  68,            0.015166,           0.0062623,           0.0033155,             0.99608,             0.99325,             0.99357,             0.86663,            0.012659,           0.0040977,          0.00091579,           0.0032093,           0.0032093,           0.0032093
                  69,            0.015146,           0.0062281,           0.0031368,             0.99602,             0.99341,             0.99356,             0.86691,            0.012653,           0.0040947,          0.00091011,           0.0030888,           0.0030888,           0.0030888
                  70,            0.014947,            0.006135,           0.0029873,             0.99616,             0.99318,             0.99356,             0.86735,            0.012649,           0.0040918,          0.00090534,           0.0029706,           0.0029706,           0.0029706
                  71,            0.014913,           0.0062168,           0.0030648,             0.99615,              0.9933,             0.99355,             0.86732,            0.012644,           0.0040888,          0.00089959,            0.002855,            0.002855,            0.002855
                  72,            0.014821,           0.0060579,           0.0031221,             0.99618,             0.99328,             0.99372,             0.86796,            0.012639,           0.0040857,          0.00089543,           0.0027419,           0.0027419,           0.0027419
                  73,            0.014724,           0.0061203,            0.003108,             0.99617,             0.99328,             0.99375,             0.86854,            0.012634,           0.0040825,           0.0008907,           0.0026316,           0.0026316,           0.0026316
                  74,              0.0147,            0.006079,           0.0031061,             0.99611,             0.99331,             0.99379,             0.86858,            0.012631,            0.004079,           0.0008863,           0.0025241,           0.0025241,           0.0025241
                  75,            0.014497,           0.0060265,           0.0029226,             0.99608,             0.99332,             0.99384,             0.86871,            0.012626,           0.0040759,          0.00088215,           0.0024195,           0.0024195,           0.0024195
                  76,            0.014521,           0.0060194,           0.0029582,             0.99609,             0.99332,              0.9939,              0.8687,            0.012622,           0.0040722,          0.00087792,            0.002318,            0.002318,            0.002318
                  77,            0.014409,           0.0059812,           0.0028017,             0.99607,             0.99333,             0.99398,             0.86877,            0.012616,           0.0040687,          0.00087527,           0.0022196,           0.0022196,           0.0022196
                  78,            0.014292,           0.0059977,           0.0026817,             0.99606,             0.99332,             0.99418,              0.8684,            0.012611,           0.0040649,          0.00087206,           0.0021245,           0.0021245,           0.0021245
                  79,             0.01423,            0.005957,           0.0026664,             0.99615,             0.99341,             0.99418,             0.86881,            0.012606,           0.0040619,          0.00086864,           0.0020327,           0.0020327,           0.0020327
                  80,             0.01414,            0.005894,           0.0027922,             0.99614,             0.99342,             0.99416,             0.86805,            0.012602,           0.0040589,          0.00086601,           0.0019443,           0.0019443,           0.0019443
                  81,             0.01406,           0.0059004,           0.0026599,             0.99613,             0.99343,             0.99417,             0.86759,            0.012598,           0.0040563,          0.00086219,           0.0018594,           0.0018594,           0.0018594
                  82,            0.014002,           0.0058845,           0.0027445,             0.99611,             0.99343,             0.99419,             0.86802,            0.012595,           0.0040536,          0.00085819,           0.0017781,           0.0017781,           0.0017781
                  83,             0.01391,           0.0058395,           0.0026396,             0.99603,             0.99336,             0.99418,              0.8681,            0.012593,           0.0040514,          0.00085365,           0.0017005,           0.0017005,           0.0017005
                  84,            0.013848,           0.0058843,           0.0025566,               0.996,             0.99338,              0.9942,             0.86805,             0.01259,           0.0040487,          0.00084904,           0.0016267,           0.0016267,           0.0016267
                  85,            0.013716,           0.0057917,           0.0024496,             0.99595,             0.99342,              0.9942,             0.86826,            0.012586,           0.0040463,          0.00084357,           0.0015566,           0.0015566,           0.0015566
                  86,            0.013734,           0.0057738,           0.0025122,             0.99589,             0.99343,             0.99421,             0.86819,            0.012583,           0.0040436,          0.00083983,           0.0014905,           0.0014905,           0.0014905
                  87,            0.013641,            0.005762,           0.0025226,             0.99591,             0.99342,             0.99421,             0.86812,            0.012581,           0.0040412,          0.00083493,           0.0014283,           0.0014283,           0.0014283
                  88,            0.013628,           0.0057339,           0.0024912,             0.99588,             0.99342,             0.99422,              0.8683,            0.012578,           0.0040387,          0.00082941,           0.0013701,           0.0013701,           0.0013701
                  89,             0.01355,             0.00574,           0.0023977,             0.99575,             0.99346,             0.99423,             0.86813,            0.012576,           0.0040362,          0.00082399,            0.001316,            0.001316,            0.001316
                  90,            0.013576,           0.0057271,           0.0025531,             0.99576,              0.9933,             0.99422,             0.86864,            0.012575,           0.0040341,           0.0008209,            0.001266,            0.001266,            0.001266
                  91,            0.013402,            0.005714,           0.0024081,             0.99567,             0.99331,             0.99424,             0.86888,            0.012571,           0.0040314,           0.0008166,           0.0012202,           0.0012202,           0.0012202
                  92,            0.013446,           0.0057107,           0.0023133,              0.9957,             0.99333,             0.99423,             0.86852,            0.012567,           0.0040287,          0.00081223,           0.0011787,           0.0011787,           0.0011787
                  93,            0.013377,           0.0056962,           0.0023542,             0.99564,             0.99334,             0.99422,             0.86888,            0.012565,            0.004026,          0.00080782,           0.0011414,           0.0011414,           0.0011414
                  94,            0.013244,           0.0056463,           0.0022943,             0.99561,             0.99336,             0.99424,              0.8694,            0.012562,           0.0040234,          0.00080242,           0.0011084,           0.0011084,           0.0011084
                  95,             0.01327,           0.0057021,           0.0023831,             0.99556,             0.99338,             0.99422,             0.86985,            0.012561,           0.0040214,          0.00079818,           0.0010797,           0.0010797,           0.0010797
                  96,            0.013279,           0.0055896,           0.0023113,             0.99555,             0.99342,             0.99421,              0.8699,            0.012559,           0.0040194,          0.00079507,           0.0010554,           0.0010554,           0.0010554
                  97,            0.013204,           0.0056461,           0.0023537,             0.99523,             0.99366,             0.99421,             0.86968,            0.012559,           0.0040179,          0.00079188,           0.0010355,           0.0010355,           0.0010355
                  98,            0.013186,           0.0056303,           0.0023003,             0.99519,             0.99359,             0.99421,             0.86965,            0.012558,           0.0040157,          0.00078918,             0.00102,             0.00102,             0.00102
                  99,            0.013095,           0.0056067,           0.0022733,             0.99517,             0.99355,             0.99421,             0.86978,            0.012557,           0.0040135,          0.00078519,           0.0010089,           0.0010089,           0.0010089
