               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029848,            0.015181,           0.0040646,             0.84757,             0.85899,             0.90765,             0.61498,            0.018442,           0.0064067,           0.0012436,           0.0098405,           0.0098405,           0.0098405
                  36,            0.029445,            0.015346,            0.004488,              0.8544,             0.84318,             0.90462,             0.61504,            0.018005,           0.0063959,           0.0014371,            0.009831,            0.009831,            0.009831
                  37,              0.0292,            0.015074,           0.0037474,             0.83571,             0.88978,             0.91314,             0.62919,            0.017388,           0.0062638,            0.001166,           0.0098213,           0.0098213,           0.0098213
                  38,            0.028388,            0.015006,           0.0038906,             0.86006,             0.87013,             0.91541,             0.63009,            0.017421,           0.0062419,           0.0012401,           0.0098113,           0.0098113,           0.0098113
                  39,            0.028663,            0.014903,           0.0035254,             0.84984,             0.87399,             0.91547,              0.6382,            0.017507,           0.0061528,           0.0012242,           0.0098011,           0.0098011,           0.0098011
                  40,            0.028402,            0.014861,           0.0038923,             0.86355,             0.86761,             0.91364,             0.63083,            0.017514,           0.0062499,           0.0013386,           0.0097905,           0.0097905,           0.0097905
                  41,            0.028326,            0.015011,           0.0037723,             0.83945,             0.88822,             0.91761,             0.63357,            0.017441,           0.0061795,           0.0011777,           0.0097798,           0.0097798,           0.0097798
                  42,            0.028588,            0.015156,           0.0035877,             0.84826,             0.88201,             0.91589,              0.6368,            0.017518,           0.0061663,           0.0011482,           0.0097687,           0.0097687,           0.0097687
                  43,            0.029765,            0.015628,            0.004486,              0.8352,             0.88544,              0.9113,             0.62491,            0.017961,            0.006281,           0.0016061,           0.0097574,           0.0097574,           0.0097574
                  44,            0.029579,            0.015547,           0.0041527,             0.88389,             0.84054,             0.91453,             0.63417,            0.017429,           0.0061379,           0.0014799,           0.0097458,           0.0097458,           0.0097458
                  45,             0.02824,            0.014804,           0.0039584,             0.85872,             0.87537,             0.92009,             0.64557,             0.01701,            0.006057,           0.0012881,            0.009734,            0.009734,            0.009734
                  46,            0.028517,            0.014883,           0.0036793,             0.84526,             0.89788,             0.92253,             0.64778,            0.017034,           0.0060299,           0.0011366,           0.0097219,           0.0097219,           0.0097219
                  47,             0.02815,            0.014773,           0.0032765,             0.85387,             0.88529,             0.92203,              0.6503,            0.016847,            0.005997,           0.0010925,           0.0097095,           0.0097095,           0.0097095
                  48,            0.028176,            0.014806,           0.0038052,             0.83642,             0.91168,             0.92449,             0.65502,            0.016733,           0.0059655,          0.00099327,           0.0096969,           0.0096969,           0.0096969
                  49,            0.028697,            0.015377,           0.0043878,             0.85251,             0.88419,             0.92162,             0.65071,            0.016917,           0.0060401,           0.0010351,            0.009684,            0.009684,            0.009684
                  50,            0.028031,            0.015023,           0.0039274,             0.86022,             0.88277,             0.92352,               0.649,             0.01675,           0.0060172,           0.0010846,           0.0096709,           0.0096709,           0.0096709
                  51,             0.02837,            0.015004,           0.0038565,             0.86011,             0.88718,             0.92645,             0.65227,             0.01692,           0.0059913,          0.00098085,           0.0096575,           0.0096575,           0.0096575
                  52,            0.027792,            0.014594,           0.0031817,             0.86393,             0.89191,             0.92799,             0.65828,            0.016771,            0.005917,          0.00095429,           0.0096438,           0.0096438,           0.0096438
                  53,            0.028189,            0.015163,           0.0042255,             0.84987,             0.89245,              0.9233,             0.65063,            0.016791,             0.00602,           0.0010409,           0.0096299,           0.0096299,           0.0096299
                  54,            0.028034,             0.01492,           0.0038627,             0.85982,              0.8944,             0.92473,             0.65184,            0.016671,           0.0059838,           0.0011127,           0.0096157,           0.0096157,           0.0096157
                  55,            0.027581,            0.014499,           0.0034628,             0.87249,             0.88263,             0.92854,             0.65732,            0.016442,           0.0059346,           0.0010321,           0.0096013,           0.0096013,           0.0096013
                  56,            0.028144,            0.014673,           0.0036454,             0.87399,             0.88529,             0.92777,             0.66169,            0.016199,           0.0059116,           0.0010229,           0.0095866,           0.0095866,           0.0095866
                  57,            0.027596,            0.014597,           0.0035003,             0.85996,             0.90181,             0.93091,             0.66673,            0.016134,           0.0058772,            0.001051,           0.0095717,           0.0095717,           0.0095717
                  58,            0.026767,            0.014364,           0.0029186,             0.85939,             0.89677,              0.9314,             0.66782,            0.016083,           0.0058489,           0.0011324,           0.0095565,           0.0095565,           0.0095565
                  59,              0.0272,            0.014596,           0.0039997,             0.86748,               0.891,             0.93102,             0.66665,            0.016073,           0.0058113,           0.0011941,           0.0095411,           0.0095411,           0.0095411
                  60,            0.027541,            0.014477,           0.0033668,             0.85513,             0.90269,             0.93003,             0.66875,            0.016115,           0.0058013,           0.0011357,           0.0095255,           0.0095255,           0.0095255
                  61,             0.02706,            0.014239,           0.0031656,              0.8588,             0.90292,             0.93144,             0.67079,            0.016044,           0.0057852,           0.0011666,           0.0095095,           0.0095095,           0.0095095
                  62,            0.027574,             0.01478,           0.0038028,             0.84224,              0.9196,             0.93333,             0.67106,            0.016046,           0.0057993,           0.0011428,           0.0094934,           0.0094934,           0.0094934
                  63,            0.027566,            0.014749,           0.0035741,              0.8737,             0.88666,              0.9347,              0.6717,            0.015902,           0.0057966,           0.0010473,           0.0094769,           0.0094769,           0.0094769
                  64,            0.027514,             0.01459,           0.0038004,             0.87899,             0.88556,             0.93432,             0.67239,            0.015946,           0.0057867,            0.001058,           0.0094603,           0.0094603,           0.0094603
                  65,            0.027682,            0.014643,           0.0033983,             0.86973,             0.89984,             0.93308,             0.67222,            0.016025,            0.005793,            0.001079,           0.0094434,           0.0094434,           0.0094434
                  66,            0.027606,            0.014349,           0.0034428,             0.88046,             0.88507,             0.93311,             0.67525,            0.015998,           0.0057714,           0.0010806,           0.0094262,           0.0094262,           0.0094262
                  67,             0.02687,            0.014468,           0.0034267,             0.87333,             0.89327,             0.93368,             0.67702,            0.015976,           0.0057508,           0.0010909,           0.0094088,           0.0094088,           0.0094088
                  68,            0.027086,            0.014426,            0.003335,              0.8757,             0.89071,             0.93298,             0.67804,            0.015958,           0.0057519,           0.0011139,           0.0093912,           0.0093912,           0.0093912
                  69,            0.026682,             0.01425,           0.0028619,             0.87323,             0.89338,             0.93367,             0.67911,            0.015899,           0.0057355,           0.0011148,           0.0093733,           0.0093733,           0.0093733
                  70,              0.0271,            0.014246,           0.0031624,             0.88406,             0.88355,             0.93366,             0.67979,            0.015824,           0.0057279,           0.0010895,           0.0093552,           0.0093552,           0.0093552
                  71,            0.026772,            0.014323,             0.00331,             0.87903,              0.8852,             0.93349,             0.68009,            0.015754,           0.0057237,           0.0010399,           0.0093369,           0.0093369,           0.0093369
                  72,            0.026839,            0.014332,           0.0030656,             0.85405,             0.91339,             0.93396,             0.67994,            0.015685,           0.0057247,           0.0010146,           0.0093183,           0.0093183,           0.0093183
                  73,            0.026411,            0.014081,           0.0030735,             0.86486,             0.90371,             0.93358,             0.68197,            0.015625,           0.0057137,          0.00099916,           0.0092995,           0.0092995,           0.0092995
                  74,            0.026949,            0.014274,           0.0034995,             0.87058,             0.89747,              0.9339,             0.68329,            0.015594,           0.0056995,           0.0010205,           0.0092804,           0.0092804,           0.0092804
                  75,            0.027282,            0.014496,           0.0034853,             0.88088,             0.88899,             0.93451,             0.68464,            0.015567,           0.0056859,           0.0010183,           0.0092611,           0.0092611,           0.0092611
                  76,            0.027015,            0.014332,           0.0033011,             0.88812,             0.88351,              0.9353,             0.68602,            0.015538,           0.0056759,           0.0010293,           0.0092416,           0.0092416,           0.0092416
                  77,            0.026849,            0.014446,           0.0034728,             0.87749,             0.89766,             0.93607,             0.68704,            0.015501,           0.0056677,          0.00097774,           0.0092219,           0.0092219,           0.0092219
                  78,            0.026834,            0.014302,           0.0033984,             0.87414,             0.90292,             0.93664,             0.68814,            0.015504,           0.0056584,          0.00096412,           0.0092019,           0.0092019,           0.0092019
                  79,            0.026767,             0.01434,           0.0031835,             0.87253,             0.90289,             0.93608,              0.6891,            0.015505,           0.0056506,          0.00095861,           0.0091817,           0.0091817,           0.0091817
                  80,            0.026427,            0.014167,           0.0031716,             0.86323,             0.91235,             0.93576,             0.69028,            0.015553,           0.0056513,          0.00095557,           0.0091612,           0.0091612,           0.0091612
                  81,            0.026901,            0.014166,           0.0028025,             0.87548,             0.89902,             0.93671,             0.68987,            0.015554,            0.005646,           0.0009663,           0.0091406,           0.0091406,           0.0091406
